,LAcode,LAname,objectid,all_categories,from_home,underground_metro _light_rail_tram,Train,bus_minibus_or_coach,taxi,motorcycle_or_scooter,driving_a_car_or _a_van,passeneger_a_car_or _a_van,bicycle,on_foot,other,not_in_employment,health_all_categories,very_good_health,good_health,fair_health,bad_health,very_bad_health
164,W06000014,Vale of Glamorgan,165,91816,5886,83,3450,1681,251,328,38079,3177,998,4701,344,32838,126336,60656,40486,17123,6191,1880
165,W06000015,Cardiff,166,260268,11998,196,5197,15947,675,655,86767,8003,5791,23644,741,100654,346090,174329,107477,42014,16745,5525
166,W06000016,Rhondda Cynon Taf,167,172047,6778,61,4114,3932,217,445,67154,7995,441,7836,354,72720,234410,105154,69544,37208,17396,5108
167,W06000018,Caerphilly,168,130950,5347,40,2950,2971,302,411,53239,6004,475,5469,280,53462,178806,79382,54272,28488,12844,3820
168,W06000019,Blaenau Gwent,169,51809,1660,16,217,855,154,149,19640,2778,134,2574,114,23518,69814,29269,21385,11696,5692,1772
169,W06000020,Torfaen,170,66107,2582,30,475,1892,308,301,28057,3074,326,3089,127,25846,91075,39398,29619,14155,5965,1938
170,W06000021,Monmouthshire,171,66107,6619,61,857,563,88,341,27602,2221,483,3792,190,23290,91323,42365,30742,12800,4173,1243
171,W06000022,Newport,172,105141,4728,58,1312,5009,419,430,40943,4643,921,5652,293,40733,145736,66667,47811,20538,8161,2559
172,W06000023,Powys,173,96069,13621,54,364,667,115,218,37419,2920,843,7097,335,32416,132976,59511,45459,19857,6375,1774
173,W06000024,Merthyr Tydfil,174,43377,1680,24,460,1724,209,77,15788,2620,80,2333,104,18278,58802,25948,16961,9324,4908,1661
